Phrasal verbs - 50 typowych
oddać coś, zwrócić;give back
wstać z łóżka;get up
wsiąść do auta, autobusu lub pociągu;get in
wysiąść z auta, autobusu lub pociągu;get out
włączać urządzenie;turn on
wyłączać urządzenie;turn off
podnieść coś z ziemi;pick up
odłożyć coś na miejsce;put away
założyć ubranie;put on
zdjąć ubranie;take off
szukać czegoś;look for
opiekować się kimś lub czymś;look after
czekać z niecierpliwością;look forward to
sprawdzić informację;look up
uważać, mieć się na baczności;look out
poddać się;give up
kontynuować coś;carry on
dowiedzieć się;find out
wymyślić pomysł lub rozwiązanie;come up with
spotkać kogoś przypadkiem;run into
dogadywać się z kimś;get along with
nadrobić zaległości;catch up
uspokoić się;calm down
dorastać;grow up
wychodzić z domu;go out
wrócić;come back
wejść do środka;come in
zjawić się, pojawić się;show up
odwołać spotkanie lub plan;call off
oddzwonić;call back
wypełnić formularz;fill in
wyczerpać zapas czegoś;run out of
załamać się lub zepsuć się;break down
rozstać się;break up
zacząć nowe hobby lub aktywność;take up
przejrzeć coś szybko;look through
przejść przez coś trudnego;go through
opiekować się przez chwilę;take care of
dogonić kogoś;catch up with
zrozumieć, rozgryźć coś;figure out
odkładać coś na później;put off
ustawić, zorganizować coś;set up
sprzątnąć bałagan;clean up
wyrzucić coś;throw away
obudzić się;wake up
zostać na nogach, nie iść spać;stay up
wyprowadzić się;move out
wprowadzić się;move in
poddać coś pod dyskusję;bring up
wypróbować coś;try out
