Zeglarz jachtowy - przepisy
Jeden czarny stożek wierzchołkiem w dół pokazany za dnia;Statek żaglowy idący jednocześnie na żaglach i silniku. Traktuje się go jak statek o napędzie mechanicznym.
Jedna czarna kula pokazana za dnia;Statek stoi na kotwicy. W nocy odpowiada temu białe światło kotwiczne.
Dwie czarne kule jedna nad drugą;Statek nie odpowiada za swoje ruchy. Należy zachować szczególną ostrożność i ustąpić.
Trzy czarne kule jedna nad drugą;Statek osiadły na mieliźnie. Należy omijać bezpiecznie i nie podchodzić blisko.
Kula, romb, kula jedna nad drugą;Statek ograniczony swoją zdolnością manewrową. Należy nie przeszkadzać i zachować odstęp.
Dwa czarne stożki z wierzchołkami skierowanymi do siebie;Statek zajęty połowem. Należy omijać go ostrożnie i uważać na narzędzia połowowe.
Czarny walec pokazany za dnia;Statek ograniczony swoim zanurzeniem. Ma ograniczoną możliwość zejścia z kursu.
Znak kardynalny z dwoma trójkątami skierowanymi w górę;Znak północny. Bezpieczna woda znajduje się po północnej stronie znaku.
Znak kardynalny z dwoma trójkątami skierowanymi w dół;Znak południowy. Bezpieczna woda znajduje się po południowej stronie znaku.
Znak kardynalny z trójkątami skierowanymi podstawami do siebie;Znak zachodni. Bezpieczna woda znajduje się po zachodniej stronie znaku.
Znak kardynalny z trójkątami skierowanymi wierzchołkami do siebie;Znak wschodni. Bezpieczna woda znajduje się po wschodniej stronie znaku.
Znak boczny czerwony na prawej stronie toru z kierunku morza;Oznacza lewą stronę toru wodnego przy wchodzeniu z morza według systemu IALA A.
Znak boczny zielony na lewej stronie toru z kierunku morza;Oznacza prawą stronę toru wodnego przy wchodzeniu z morza według systemu IALA A.
Znak bezpiecznej wody w czerwono-białe pionowe pasy;Wokół znaku jest woda żeglowna. Może oznaczać oś toru lub miejsce podejścia.
Znak odosobnionego niebezpieczeństwa, czarny z czerwonym pasem i dwiema kulami;Niebezpieczeństwo znajduje się przy znaku, a wokół jest woda żeglowna.
Znak specjalny żółty z żółtym krzyżem jako znakiem szczytowym;Oznacza obszar lub obiekt specjalny, na przykład akwen zamknięty, kabel, rurociąg lub strefę.
Statek na twojej prawej burcie przecina twój kurs na silniku;Masz obowiązek ustąpić, bo statek jest z prawej strony.
Dwa statki motorowe idą kursami przeciwnymi na spotkanie;Oba powinny zmienić kurs w prawo, aby minąć się lewymi burtami.
Wyprzedzasz inny statek;Jesteś statkiem wyprzedzającym i musisz ustąpić niezależnie od rodzaju napędu.
Inny statek wyprzedza ciebie;Masz utrzymać kurs i prędkość, o ile sytuacja pozostaje bezpieczna.
Dwa jachty żaglowe mają wiatr z różnych burt;Jacht mający wiatr z lewej burty ustępuje jachtowi mającemu wiatr z prawej burty.
Dwa jachty żaglowe mają wiatr z tej samej burty;Jacht nawietrzny ustępuje jachtowi zawietrznemu.
Jacht żaglowy nie wie, z której burty ma wiatr drugi jacht;Jeśli ma wiatr z lewej burty, powinien ustąpić.
Statek zmienia kurs w prawo i daje jeden krótki dźwięk;Oznacza: zmieniam kurs w prawo.
Statek daje dwa krótkie dźwięki;Oznacza: zmieniam kurs w lewo.
Statek daje trzy krótkie dźwięki;Oznacza: moje maszyny pracują wstecz.
Statek daje pięć krótkich dźwięków;Sygnał ostrzegawczy: nie rozumiem twoich zamiarów lub obawiam się kolizji.
Statek zbliża się do zakrętu w wąskim przejściu i daje jeden długi dźwięk;Sygnał ostrzegający statki po drugiej stronie zakrętu.
Na torze wodnym mały jacht może płynąć poza osią toru;Nie powinien przeszkadzać statkom, które mogą bezpiecznie poruszać się tylko w torze.
Wchodzisz do portu i widzisz światło czerwone po swojej lewej stronie;W systemie IALA A jest to poprawne przy wchodzeniu z morza, czerwone zostaje po lewej.
Wchodzisz do portu i widzisz światło zielone po swojej prawej stronie;W systemie IALA A jest to poprawne przy wchodzeniu z morza, zielone zostaje po prawej.
Jacht płynie na żaglach i uruchamia silnik jako napęd;W przepisach drogi staje się statkiem o napędzie mechanicznym.
Zbliżasz się do kąpieliska oznaczonego bojami;Nie wpływaj w strefę kąpieliska, zachowaj bezpieczny odstęp i małą prędkość obok.
Widzisz znak zakazu przejścia lub zamknięcia akwenu;Nie wolno wpływać na oznaczony akwen lub za znak.
Widzisz znak ograniczenia prędkości na drodze wodnej;Należy nie przekraczać prędkości podanej na znaku.
Widzisz znak nakazu użycia sygnału dźwiękowego;Należy podać wymagany sygnał dźwiękowy w tym miejscu.
Płyniesz nocą i widzisz światło czerwone oraz zielone statku na wprost;Statek idzie na ciebie dziobem lub prawie dziobem. Zachowaj ostrożność i stosuj zasady mijania.
Płyniesz nocą i widzisz tylko białe światło rufowe statku;Doganiający statek widzi rufę. Jeśli ty go doganiasz, musisz ustąpić.
Płyniesz nocą i widzisz czerwone światło boczne innego statku;Widzisz jego lewą burtę. Oceń ryzyko zderzenia i zasady pierwszeństwa.
Płyniesz nocą i widzisz zielone światło boczne innego statku;Widzisz jego prawą burtę. Oceń ryzyko zderzenia i zasady pierwszeństwa.
Statek pokazuje czerwone, białe, czerwone światło pionowo;Statek ograniczony swoją zdolnością manewrową.
Statek pokazuje czerwone, czerwone światło pionowo;Statek nie odpowiada za swoje ruchy.
Statek pokazuje zielone, białe, zielone światło pionowo;Statek zajęty połowem innym niż trałowanie.
