Enzymy trawienne
Amylaza ślinowa;Rozkłada skrobię i glikogen na krótsze cukry, głównie maltozę. Działa w jamie ustnej.
Amylaza trzustkowa;Rozkłada skrobię w dwunastnicy do maltozy, maltotriozy i dekstryn.
Maltaza;Rozkłada maltozę do dwóch cząsteczek glukozy.
Sacharaza;Rozkłada sacharozę do glukozy i fruktozy.
Laktaza;Rozkłada laktozę do glukozy i galaktozy.
Izomaltaza;Rozkłada wiązania alfa-1,6 w dekstrynach granicznych powstałych ze skrobi.
Pepsyna;Rozpoczyna trawienie białek w żołądku, rozkładając je na krótsze peptydy.
Trypsyna;Trawi białka i peptydy w jelicie cienkim. Aktywuje też inne enzymy trzustkowe.
Chymotrypsyna;Rozkłada białka i peptydy w jelicie cienkim, szczególnie przy aminokwasach aromatycznych.
Elastaza trzustkowa;Rozkłada elastynę i inne białka na krótsze peptydy w jelicie cienkim.
Karboksypeptydaza;Odcina aminokwasy z końca karboksylowego peptydów.
Aminopeptydaza;Odcina aminokwasy z końca aminowego peptydów na powierzchni enterocytów.
Dipeptydaza;Rozkłada dipeptydy do pojedynczych aminokwasów.
Lipaza językowa;Rozpoczyna trawienie tłuszczów, szczególnie triglicerydów krótko- i średniołańcuchowych.
Lipaza żołądkowa;Trawi część tłuszczów w żołądku, rozkładając triglicerydy do kwasów tłuszczowych i diglicerydów.
Lipaza trzustkowa;Główny enzym trawiący tłuszcze. Rozkłada triglicerydy do monoglicerydów i kwasów tłuszczowych.
Fosfolipaza A2;Rozkłada fosfolipidy do lizofosfolipidów i kwasów tłuszczowych.
Esteraza cholesterolowa;Rozkłada estry cholesterolu i pomaga trawić niektóre lipidy w jelicie cienkim.
Nukleaza trzustkowa;Rozkłada kwasy nukleinowe DNA i RNA na krótsze nukleotydy.
Ribonukleaza;Rozkłada RNA do krótszych fragmentów i nukleotydów.
Deoksyrybonukleaza;Rozkłada DNA do krótszych fragmentów i nukleotydów.
Nukleotydaza;Rozkłada nukleotydy do nukleozydów i fosforanów.
Nukleozydaza;Rozkłada nukleozydy do zasad azotowych i cukrów.
