English irregular verbs
be;be - was/were - been
become;become - became - become
begin;begin - began - begun
bend;bend - bent - bent
bet;bet - bet - bet
bite;bite - bit - bitten
bleed;bleed - bled - bled
blow;blow - blew - blown
break;break - broke - broken
bring;bring - brought - brought
build;build - built - built
burn;burn - burnt - burnt
buy;buy - bought - bought
catch;catch - caught - caught
choose;choose - chose - chosen
come;come - came - come
cost;cost - cost - cost
cut;cut - cut - cut
deal;deal - dealt - dealt
dig;dig - dug - dug
do;do - did - done
draw;draw - drew - drawn
dream;dream - dreamt - dreamt
drink;drink - drank - drunk
drive;drive - drove - driven
eat;eat - ate - eaten
fall;fall - fell - fallen
feed;feed - fed - fed
feel;feel - felt - felt
fight;fight - fought - fought
find;find - found - found
fly;fly - flew - flown
forget;forget - forgot - forgotten
forgive;forgive - forgave - forgiven
freeze;freeze - froze - frozen
get;get - got - got
give;give - gave - given
go;go - went - gone
grow;grow - grew - grown
hang;hang - hung - hung
have;have - had - had
hear;hear - heard - heard
hide;hide - hid - hidden
hit;hit - hit - hit
hold;hold - held - held
hurt;hurt - hurt - hurt
keep;keep - kept - kept
know;know - knew - known
lay;lay - laid - laid
lead;lead - led - led
learn;learn - learnt - learnt
leave;leave - left - left
lend;lend - lent - lent
let;let - let - let
lie;lie - lay - lain
light;light - lit - lit
lose;lose - lost - lost
make;make - made - made
mean;mean - meant - meant
meet;meet - met - met
pay;pay - paid - paid
put;put - put - put
read;read - read - read
ride;ride - rode - ridden
ring;ring - rang - rung
rise;rise - rose - risen
run;run - ran - run
say;say - said - said
see;see - saw - seen
sell;sell - sold - sold
send;send - sent - sent
set;set - set - set
shake;shake - shook - shaken
shine;shine - shone - shone
shoot;shoot - shot - shot
show;show - showed - shown
shut;shut - shut - shut
sing;sing - sang - sung
sink;sink - sank - sunk
sit;sit - sat - sat
sleep;sleep - slept - slept
speak;speak - spoke - spoken
spend;spend - spent - spent
stand;stand - stood - stood
steal;steal - stole - stolen
stick;stick - stuck - stuck
swim;swim - swam - swum
take;take - took - taken
teach;teach - taught - taught
tear;tear - tore - torn
tell;tell - told - told
think;think - thought - thought
throw;throw - threw - thrown
understand;understand - understood - understood
wake;wake - woke - woken
wear;wear - wore - worn
win;win - won - won
write;write - wrote - written
arise;arise - arose - arisen
awake;awake - awoke - awoken
bear;bear - bore - born
beat;beat - beat - beaten
breed;breed - bred - bred
burst;burst - burst - burst
cast;cast - cast - cast
cling;cling - clung - clung
creep;creep - crept - crept
dive;dive - dived - dived
flee;flee - fled - fled
fling;fling - flung - flung
grind;grind - ground - ground
kneel;kneel - knelt - knelt
leap;leap - leapt - leapt
quit;quit - quit - quit
seek;seek - sought - sought
sew;sew - sewed - sewn
slide;slide - slid - slid
smell;smell - smelt - smelt
spell;spell - spelt - spelt
spill;spill - spilt - spilt
split;split - split - split
spread;spread - spread - spread
spring;spring - sprang - sprung
strike;strike - struck - struck
sweep;sweep - swept - swept
swing;swing - swung - swung
weave;weave - wove - woven
weep;weep - wept - wept
wind;wind - wound - wound
withdraw;withdraw - withdrew - withdrawn
